CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
333,0,0,192,0,931.2,842.6,28,45.85
350,0,0,186,0,1050,770,28,37.17
289,134,0,195,6,924,760,28,52.45
310,0,0,192,0,920,820,7,11.96
480,0,0,192,0,936.2,712.2,90,61.89
349,0,0,192,8.3,847,806,28,41.05
491,26,123,201,3.9,882,699,28,28.99
155,185,0,185,0,1026,695,28,25.1
385,0,0,186,0,966,763,3,10.22
203.5,305.3,0,203.5,0,963.4,630,90,52.2
355.9,0,0,174.8,9.1,1030,753.5,28,35.57
349,0,0,192,0,1047,806,7,10.09
382,0,0,185.7,0,1111.6,784.3,7,25.42
250,0,95.7,187.4,5.5,956.9,861.2,28,68.5
362.6,189,0,164.9,11.6,944.7,755.8,7,43.89
116,173,0,192,0,838.2,856.8,28,68.3
331,0,0,192,0,978,825,180,29.55
296,0,106.3,171.5,10.4,935.4,753.5,28,36.25
425,106.3,0,153.5,16.5,852.1,803.7,91,42.64
439,177,0,186,11.1,884.9,707.9,28,52.2
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,32.33
307,0,0,193,0,968,812,180,26.31
339.2,0,0,185.7,0,1069.2,754.3,28,31.27
446,0,94,158,16,967,712,3,9.99
337.9,189,0,174.9,9.5,936,755.8,91,64.02
387,0,94,157,14.3,938,845,3,22.95
190.3,0,125.2,166.6,9.9,1079,798.9,14,22.72
342,38,0,228,0,932,670,3,11.65
212,0,124.8,159,7.8,1085.4,799.5,14,19.2
375,0,0,126.6,23.4,852.1,893.7,7,23.79
246.8,0,125.1,143.3,12,1086.8,800.9,28,25.18
203.5,135.7,0,185.7,0,1076.2,759.3,7,15.34
194.7,0,100.5,170.2,7.5,998,901.8,14,29.87
165,0,143.6,163.8,0,1005.6,900.9,56,64.9
192,288,0,192,0,929.8,716.1,90,36.84
236,157,0,228,0,938.2,749.1,365,45.7
277,0,0,191,0,968,856,28,46.9
157,236,0,192,0,935.4,781.2,7,25.56
182,45.2,122,170.2,8.2,1059.4,780.7,14,35.23
158.8,259.7,0,185.7,6.4,852.1,655.3,28,29.79
298.1,0,107,209.7,6.1,878.4,753.5,28,42.13
102,288,0,192,11.2,913.2,803.7,56,33.4
385,0,0,186,0,966,763,3,11.36
382,0,0,185,0,1047,739,28,26.23
167.4,129.9,128.6,168.4,7.8,1006.3,746.6,28,19.54
307,0,0,193,0,968,812,180,26.06
446,24,0,162,11.6,967,712,28,71.3
203.5,135.7,0,185.7,0,1076.2,759.3,28,20.59
362.6,189,0,164.9,11.6,944.7,755.8,56,73.7
382,0,0,186,0,1047,739,28,41.89
313,145,113,178,8,1002,689,28,8.49
218.2,0,123.8,140.8,11.9,1075.7,792.7,100,15.34
333,0,90,186,13.9,967,871,28,24.89
210.7,316.1,0,185.7,0,977,689.3,28,14.6
167,75.4,167,164,7.9,1007.3,770.1,28,61.86
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,46.93
379.5,151.2,0,153.9,15.9,1134.3,605,28,55.55
387,20,94,157,11.6,1145,845,3,33.4
167,75.4,167,164,7.9,1007.3,770.1,100,52.2
393,0,0,192,0,931.2,885,7,33.4
102,153,0,192,0,887,942,180,32.63
149,183,0,194,9,1047,697,28,26.92
238,158,0,185,0,1040,734,28,26.23
393,0,0,192,0,940.6,785.6,7,18.91
375,0,0,126.6,23.4,852.1,992.6,91,54.1
230,0,118.3,195.5,4.6,1029.4,758.6,100,54.1
331,0,0,192,0,978,825,7,33.31
296,0,0,186,0,1069,769,28,25.51
331,0,0,192,0,1025,821,100,43.57
349,0,0,192,0,1047,806,365,73.3
281,0,0,186,0,1104,774,7,21.92
295,0,0,185,0,1055,769,28,52.42
310,0,0,192,0,1012,830,28,31.35
238.2,158.8,0,185.7,0,1040.6,734.3,28,32.84
159.8,0,128.6,175.1,8.6,1001.9,746.6,28,39.49
288,192,0,192,0,932,717.8,90,39.09
296,0,0,192,0,978,825,3,15.42
290.2,0,103.3,154.6,9.6,961.2,865,3,17.24
540,0,0,168,10,941,758,28,33.42
212.1,0,100.4,159.4,8.9,1007.8,903.6,3,23.22
212,141.3,0,203.5,0,973.4,750,14,22.14
237.5,237.5,0,228,0,932,594,90,33.06
339,0,0,197,0,968,781,90,31.35
230,0,118.3,185.7,5.8,1029.4,758.6,28,48.59
159,187,0,176,11,990,789,28,41.84
325,0,0,192,0,1063,783,28,66.78
446,17.6,79,162,14.3,967,712,14,32.84
116,0,0,192,0,909.8,891.9,28,24.48
139.6,209.4,0,192,0,909.8,891.9,3,23.84
380,0,0,228,0,932,670,270,57.23
165,128.5,132.1,175.5,7.6,1005.8,746.6,3,15.53
275,121,128,195,9,923,746,28,65.2
153.1,145,113,178.5,8,1001.9,688.7,28,41.41
190.3,0,125.4,166.6,7.6,1090,798.9,14,17.58
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,41.37
200,0,0,180,0,1125,845,7,17.2
203.5,305.3,0,185.7,0,965.4,775.5,28,56.5
382.5,0,0,185.7,0,1047.8,739.3,180,40.93
116,173,0,192,0,909.8,891.9,28,17.6
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,12.18
183.9,122.6,0,203.5,0,959.2,800,7,10.22
331,0,0,192,0,1025,821,3,11.36
349,0,0,192,0,1047,806,28,41.94
355,19,97,145,12.3,967,871,28,60.95
349,0,0,192,0,935.4,781.2,7,38.07
173.8,50.1,59.3,159.5,11.2,967.1,771.9,3,2.33
233.8,0,94.6,197.9,4.6,947,852.2,100,36.35
192,288,0,192,0,929.8,716.1,28,29.73
540,0,0,173,0,1125,613,14,35.75
359,19,141,154,10.9,942,801,7,25.62
540,0,0,173,0,1125,613,180,33
427.5,47.5,0,228,0,932,594,90,31.54
154.8,0,142.8,193.3,9.1,1047.8,696.7,90,54.38
165,128.9,132.1,175.1,8.9,1005.8,746.6,56,41.41
339.2,0,0,185.7,0,1069.2,754.3,28,40.71
350,0,0,186,0,1050,770,28,40.71
295,0,0,185,0,1069,769,28,26.94
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,25.02
255,0,94,168,7,968,856,28,24.1
166.8,0,166.8,203.5,15,852.1,641,28,67.57
333,0,0,192,0,931.2,842.6,7,14.5
249.1,0,98.8,158.1,12.8,987.8,889,3,12.54
480,0,0,192,0,936.2,716.1,28,21.16
141.3,212,0,203.5,0,971.8,748.5,90,59.49
313,145,0,178,8,1002,689,28,59.09
252,0,0,185,0,1111,784,28,23.79
212,0,124.8,159,7.8,1085.4,799.5,3,12.64
500,0,0,200,0,1125,613,3,9.01
362.6,189,0,164.9,11.6,944.7,755.8,28,44.3
236,157,0,192,0,972.6,749.1,90,42.13
516,0,0,162,8.2,801,802,28,61.09
147.8,175.1,0,171.2,2.2,1000,828.5,28,29.59
233.8,0,94.6,183.8,6.7,947,847,3,2.33
388.6,97.1,0,157.9,12.1,852.1,925.7,56,57.6
182,0,122,170.2,8.2,1059.4,780.7,100,37.68
382,0,0,186,0,1047,739,28,37.92
322,0,0,203,0,974,800,180,54.38
252,0,0,185,0,1111,784,28,28.47
190,0,0,228,0,932,670,180,52.82
349,0,0,192,0,1047,806.9,28,34.67
238.1,0,0,185.7,0,1118.8,789.3,28,39.64
139.6,209.4,0,192,0,1047,806.9,28,20.87
290.4,0,95.7,187.4,5.9,961.2,859.2,14,34.56
298,0,107,196,6,860,790,28,29.41
379.5,151.2,0,153.9,15.9,1134.3,605,28,32.01
233,0,94,197,3.9,967,871,3,13.82
154,143,0,171,2,1000,828,28,13.71
469,24,79,162.1,11.6,967.1,712.2,3,42.03
190.3,0,125.2,161.9,9.9,1058.6,758.6,100,32.07
389.9,189,0,145.9,10.4,944.7,755.8,56,49.77
250,0,118.3,187.4,5.7,1058.6,754.3,91,33.95
491,26,123,210,3.9,882,699,28,60.29
310,0,0,192,0,1012,830,7,26.05
299.8,133.7,103.3,211.5,9.9,878.2,727.6,28,36.35
382,0,0,185,0,1047,739,28,56.83
350,0,0,203,0,974,775,180,45.08
380,95,0,228,0,932,594,28,25.42
310.2,170.2,0,192,0,811.8,880.4,28,41.64
133,200,0,192,0,927.4,839.2,90,58.78
427.5,47.5,0,228,0,932,594,270,57.21
153,102,0,192,0,888,943.1,90,65.2
298,0,107,164,11.6,967,712,7,20.97
500,0,0,151,9,1033,655,28,43.58
252,0,0,185,0,1111,784,28,31.64
150,236.8,0,173.8,11.9,1069.3,674.8,28,25.02
307,0,0,193,0,968,812,28,12.25
475,0,0,228,0,932,594,3,24.4
122.6,183.9,0,203.5,0,959.2,800.1,90,40.71
339,0,0,197,0,968,783,7,28.63
385,0,0,186,0,966,763,270,25.22
230,0,118.3,195.7,4.6,1029.4,758.6,28,30.08
198.6,132.4,0,192,0,978.4,825.5,3,4.9
203.5,135.7,0,185.7,0,1076.2,759.3,28,25.08
200,133,0,192,0,965.4,806.2,90,38.63
362.6,189,0,164.9,11.6,944.7,755.8,3,15.05
350,0,0,203,0,974,775,3,23.4
349,0,0,192,0,1047,806,7,15.36
525,0,0,189,0,1125,613,28,31.27
333,0,0,192,0,931.2,842.6,3,7.72
212,0,124.8,159,7.8,1085.4,799.5,28,27.63
135.7,203.5,0,185.7,0,1076.2,759.3,28,35.96
238.2,158.8,0,185.7,0,1040.6,734.3,28,32.1
374,186.7,0,187.4,6.7,1026.6,724.3,28,60.29
213.7,164.2,0,185.7,0,1046.9,776.4,28,32.84
255,0,0,192,0,887,942,7,19.42
310,0,0,192,0,970,850.5,90,39.42
475,0,0,228,0,932,594,270,74.36
139.6,209.4,0,192,0,1047,806.9,7,14.14
133.1,200,0,172.4,3.4,965.4,806.2,3,65.91
148,145,0,178,8,1002,689,28,17.57
397,0,0,185.7,0,1040.6,734.3,28,59.49
194.7,75.4,100.5,170.2,7.8,1049.3,699,56,33.05
249.1,0,98.8,158.1,12.8,987.8,889,56,36.35
212.5,0,0,159.3,8.7,1003.8,903.8,3,12.54
525,0,0,189,0,1125,613,180,51.86
277,116,111,182,7,814,790,28,25.69
202,11,141,206,1.7,942,801,28,40.2
166.8,0,0,203.5,0,935.4,781.2,7,27.77
325.6,0,0,170.1,8.1,1026.6,764.4,3,10.54
439,177,0,186,11.1,884.9,707.9,7,54.38
500,0,0,200,0,1125,613,90,47.74
400,0,0,186,0,1040,745,7,38.33
295,0,0,185,0,1069,769,28,47.4
139.6,209.4,0,192,0,1047,806.9,7,25.1
381.4,0,0,185.7,0,1104.6,784.3,28,45.84
238.2,158.8,0,185.7,0,1040.6,734.3,7,14.14
397,0,0,186,0,1040,734,56,49.77
200,0,0,180,0,1125,845,28,55.94
307,190,0,194,0,1063,698.5,28,35.3
374,187,0,145.9,22,944.7,755.8,91,76.24
333,0,0,192,0,931.2,842.6,28,33.05
166.8,250.2,0,203.5,0,1048.9,695.3,28,26.15
288,192,0,192,0,932,717.8,28,33.4
135.7,203.5,0,185.7,0,1076.2,759.3,7,13.12
387,20,0,157,11.6,938.2,845,56,59.8
203.5,305.3,0,203.5,0,963.4,630,3,13.29
439,177,0,186,11.1,884.9,707.9,28,40.86
362.6,189,0,164.9,11.6,944.7,755.8,3,36.3
387,0,97,158,14.3,938,845,28,17.54
331,0,0,192,0,1025,721,28,41.05
290.2,193.5,0,185.7,0,998.2,704.3,7,10.34
400,0,0,200,0,1125,745,28,39.15
349,0,0,192,0,1047,806,90,46.25
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,36.8
427.5,47.5,0,228,0,932,594,365,56.85
290.4,0,96.2,168.1,9.4,889.6,880.4,3,9.69
231.8,0,0,170.2,7.6,1056.4,799.5,56,56.34
238,188,0,185.7,0,977,789.3,28,33.69
252,0,0,185,0,1111,784,28,37.34
164.2,0,150.4,181.2,12.6,1023.3,728.9,28,29.87
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,55.55
331,0,0,192,0,1025,821,7,30.12
397,0,0,192,0,940.6,785.6,7,18.2
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.87
322,0,107,196,11,819,778,28,35.1
313.3,262.2,0,179.8,8.6,1046.9,611.8,28,47.03
212,141.2,0,185.7,0,1012.4,714.3,28,56.34
531.3,0,0,141.8,28.2,852.1,893.7,7,46.8
387,20,94,157,13.9,938,845,14,56.5
387,20,94,157,14.3,938,845,7,54.9
475,0,0,181,11.5,882,611,28,69.66
375,93.4,93.9,126.6,23.4,961.2,992.6,100,42.55
286.3,200.9,0,144.7,11.2,1004.6,803.7,90,61.89
310,0,0,192,0,970,850,7,13.52
236,0,0,192,0,940.6,784.3,3,24.85
212,141.3,0,203.5,0,973.4,750,3,6.88
300,0,0,184,0,1075,795,28,29.75
382,0,0,186,0,1111,784,7,20.77
446,24,79,158,12,967,712,28,29
540,0,0,173,3,1125,613,7,39.49
133,210,0,196,0,949,795,90,31.35
382,0,0,186,0,1047,739,7,15.42
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,26.74
213.5,0,174.2,154.6,6.7,1052.3,793.5,56,42.64
254,0,0,198,0,968,863,14,24.9
153.1,144.7,112.3,178.1,8,999.7,822.2,28,26.4
362.6,189,0,164.8,11.6,944.7,755.8,3,6.94
133,0,0,192,0,927.4,839.2,7,20.97
149,177,0,186,11.1,884.9,707.9,7,17.37
362.6,189,0,164.9,11.6,944.7,755.8,3,28.63
525,0,0,189,0,1125,613,90,41.54
212.6,0,100.4,159.4,10.4,1003.8,903.8,91,66.9
139.6,209.4,0,192,0,1047,806.9,3,14.8
362.6,189,0,164.9,11.6,944.7,755.8,28,44.28
297.2,0,0,174.8,9.5,1022.8,753.5,3,7.75
349,0,0,192,0,1047,806,28,30.22
385,0,0,186,0,966,763,28,25.37
339.2,0,0,185.7,0,1069,721,28,41.24
212,0,124.8,159,7.8,1085.4,799.5,28,26.94
190.3,0,125.2,159.2,9.9,1088.1,802.6,28,30.12
153.1,145,113,178.5,8,1001.9,688.2,28,15.82
380,95,0,228,0,932,594,90,51.04
252,0,0,185,0,1111,784,28,21.78
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.9
540,0,0,173,0,1120,676,28,32.88
331.4,121,89,192,7,978.4,825.5,90,31.18
388.6,97.1,0,157.9,12.1,938.2,852.2,28,26.15
275.1,0,121.6,159.5,9.9,1053.6,777.5,100,31.12
362.6,189,0,164.9,11.6,944.7,755.8,56,64.3
296,0,0,192,0,1085,765,90,32.4
331,0,0,192,0,978,825,14,28.1
313.3,145,113,178.5,8,1001.9,688.7,3,41.3
500,0,0,200,0,1125,613,28,21.06
149,0,200,163,11,1088,690,28,18.13
157,236,0,192,0,935.4,781.2,90,40.87
333,0,0,192,0,1033,765,7,15.52
102,153,0,192,0,887,942,7,14.59
397,0,0,185.7,0,1040.6,734.3,7,26.91
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,69.84
116,183.9,0,173.8,0,1047.8,739.3,28,52.42
255,0,0,192,0,889.8,945,90,37.17
212,0,124.8,159,7.8,1085.4,799.5,3,28.3
331,0,0,192,0,1025,821,120,33.56
439,177,0,186,11.1,884.9,707.9,7,30.23
181.9,272.8,0,185.7,0,1012.4,714.3,7,13.09
339,0,0,196,5,1069,790,28,55.5
382.5,0,0,185.7,0,1047.8,739.3,7,8.54
336.5,0,0,181.9,3.4,985.8,816.8,28,72.1
200,0,0,192,0,965.4,805,7,21.16
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,14.4
238,0,0,185,0,1104,789,7,26.2
349,0,0,192,0,1047,806,90,29.73
198.6,0,0,192,0,968,812,7,15.82
310,0,0,192,0,1012,830,7,17.37
212.5,0,121.6,159.2,5.5,1057.6,779.3,100,39.58
400,0,0,186,0,1001.9,745,3,17.95
393,0,0,192,0,940,758,90,33.54
286.3,50.1,125.2,144.7,6.4,1003.8,903.8,28,38.21
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,9.85
236,157,0,192,0,972.6,749.1,28,33.09
277,0,0,191,0,968,856,3,22.93
305.3,0,0,196,0,965.4,631,28,31.35
284,15,0,179,10,940,662,28,23.74
480,0,0,192,0,936.2,781.2,3,12.79
252,0,0,185,0,1111,784,28,43.8
393,0,0,192,0,940.6,785.6,3,13.36
210.7,0,0,186.4,0,1074.5,764.2,28,52.83
350,0,0,203,0,974,775,180,41.05
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.17
173,116,0,192,0,946.8,856.8,90,48.4
200,133,0,192,0,965.4,806.2,28,45.84
307,0,0,193,0,968,812,28,21.06
500,0,0,200,5,1125,613,28,23.52
310,0,0,192,0,1012,850.6,3,14.64
183.9,132.4,0,203.5,0,963.4,630,56,43.58
475,0,0,228,0,932,594,28,30.28
376,0,0,214.6,0,1003.5,762.4,28,25.46
251.4,0,118.3,192.9,5.8,1026.6,754.3,3,13.2
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,16.11
475,114,0,228,0,936,781.5,28,74.17
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,91,74.19
424,22,0,168,8.9,822,750,7,15.04
424,22,132,178,3,822,750,3,26.06
238.1,0,0,186.7,7,949.9,847,100,52.2
540,0,0,173,3,1125,613,28,15.57
116,173.5,0,192,0,956.9,861.2,90,53.96
374,0,0,186,11.6,966,763,90,61.23
380,38,0,228,0,932,670,3,12.46
375,0,0,186,0,1038,758,28,52.44
255,0,0,192,0,889.8,945,90,33.69
200,214,185,185,7,819,704,28,33.27
252,0,0,186,0,1111,774,28,36.3
313,145,0,178,8.3,867,845,28,33
252.3,0,98.8,146.3,14.2,987.8,889,91,57.92
139.6,209.4,0,192,0,1047,806.9,28,22.84
331,0,0,192,0,1025,821,90,53.52
540,0,0,173,0,1125,613,28,32.01
350,0,0,203,0,974,775,180,41.94
200,200,0,190,0,1145,660,28,68.75
203.5,305.3,0,203.5,0,963.4,630,28,26.2
350,0,0,203,0,974,775,28,25.69
310,0,0,192,0,1012,830,90,32.85
296,0,0,186,0,1090,769,28,32.25
525,0,0,189,0,1125,613,365,55.26
151.6,0,111.9,184.4,17.9,992,815.9,28,35.96
349,0,0,192,0,1047,806,7,23.22
133,210,0,195,3,949,795,28,35.34
203.5,135.7,0,185.7,0,1076.2,759.3,28,48.59
397,0,0,185.7,0,1040.6,734.3,7,27.87
238.2,158.8,0,185.7,0,1040.6,734.3,28,32.82
133,210,0,195,3,949,795,28,31.35
397,0,0,185.7,0,1040.6,734.3,7,10.09
424,22,132,168,8.5,822,750,56,33.96
144,136,106,178,7,941,774,28,23.64
220.8,147.2,0,185.7,0,1055,744.3,28,33.76
382.5,0,0,185.7,0,1047.8,739.3,90,37.23
310,0,0,192,0,1012,830,28,56.4
393,0,0,192,0,940.6,785.6,7,29.73
255,0,0,192,0,968,885,28,46.8
355.9,189,0,168.1,9.5,944.7,755.8,56,61.23
397,0,0,192,0,1140.6,781.2,7,25.02
342,38,0,228,0,932,670,180,41.05
102,153,0,192,0,1124,783,3,24.1
425,106.3,0,151.4,18.6,936,803.7,56,45.08
397,0,0,192,0,940.6,785.6,3,12.45
500,0,0,200,0,1125,613,270,51.96
491,26,123,210,3.9,882,699,7,39
475,0,0,228,0,932,713.2,28,82.6
312.7,0,0,178.1,8,999.7,822.2,28,41.89
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,53.46
393,0,0,192,0,940.6,785.6,3,19.77
141.3,212,0,203.5,0,971.8,748.5,90,52.3
307,0,0,193,0,968,812,100,56.62
155.1,183.4,0,193.8,9.1,879.6,698.5,28,17.95
540,0,0,162,10.9,1125,613,28,29.98
337.9,189,0,174.9,9.5,944.7,755.8,28,33.05
382,0,0,185,0,1047,739,7,15.09
212,0,125.2,159,12,1086.8,799.5,100,49.2
446,24,79,159,11.6,967,712,28,37.42
362.6,189,0,164.9,11.6,944.7,755.8,28,37.4
159,149,116,175,10,920,720,28,42.29
349,0,0,192,0,1056,809,7,19.11
307,0,0,193,0,968,812,3,19.35
231.8,0,121.6,174,6.7,1056.4,778.5,28,48.15
133,210,0,196,3,949,795,28,31.9
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,26.86
382.5,0,0,185.7,0,1047.8,739.3,28,55.2
531.3,0,0,141.8,28.2,852.1,893.7,56,69.66
331,0,0,192,0,978,825,7,20.73
362.6,132.4,0,164.9,11.6,944.7,755.8,7,34.56
238,0,0,185,0,1118,789,7,28.6
385,0,0,186,0,966,763,28,61.07
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,52.45
218.9,0,124.1,158.5,7.8,1078.7,794.9,56,54.77
427.5,47.5,0,228,0,932,594,90,66.78
475,0,0,228,0,932,594,365,56.85
374,0,0,190,7,1013,730,28,47.13
339.2,0,0,192,0,1043.6,754.3,28,39.38
313,145,113,143,8,822,690,28,33
349,0,0,192,0,1047,806,28,39.16
310,0,0,192,0,1013,730,14,13.52
238.2,158.8,0,185.7,0,1040.6,734.3,28,33
212,141.3,0,203.5,0,973.4,750,7,23.52
313.3,0,113,178.5,8,1001.8,688.7,28,32.84
173,116,0,192,0,966.2,763.4,90,40.87
522,0,0,146,0,896,896,28,38.46
238,0,94,186,7,968,847,28,24.92
500,0,0,200,0,1125,613,28,61.86
141.3,212,0,203.5,0,971.8,759.3,14,51.02
491,0,123,210,12,882,699,28,54.38
277,0,95,197,11.1,1047,639,28,25.69
277.1,0,97.4,160.6,11.8,973.9,875.6,100,57.22
236.9,91.7,71.5,246.9,6,852.9,695.4,28,52.12
331,0,0,192,0,978,825,3,13.36
181.9,0,0,185.7,0,1012.4,828.5,28,32.01
500,0,0,200,0,1125,613,7,10.22
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.74
333,116,0,192,0,931.2,842.6,90,24.5
339,0,0,197,0,1069,783,180,33.76
382,0,0,185,0,1047,739,7,10.34
446,24,79,162,11.6,967,712,3,35.3
272.8,183.9,0,185.7,0,931.2,781.2,28,32.72
212,0,126,163.8,10.2,1058.7,900.9,56,56.61
277.2,97.8,24.5,160.7,11.2,1061.7,781.5,28,36.94
139.6,209.4,0,192,0,1047,806.9,28,39.29
140,164,143,237,8,869,656,28,29.79
374,189.2,0,170.1,10.1,926.1,756.7,56,34.68
255,0,0,192,0,889.8,945,28,25.2
397,0,94,157,14.3,938,845,56,41.05
350,0,0,203,0,974,775,28,23.74
237.5,237.5,0,228,0,932,594,7,17.96
147.8,175.1,0,171.2,2.2,1000,828.5,28,52.44
200,133,0,192,0,965.4,806.2,90,44.28
266,114,0,228,0,932,670,7,10.03
491,26,123,210,10.9,822,699,28,54.77
230,0,118.3,195.7,4.6,1029.4,758.6,100,47.82
362.6,189,0,164.9,11.6,944.7,755.8,28,39.58
277.1,0,97.4,160.6,11.8,973.9,875.6,3,15.03
154.8,0,142.8,193.3,7.1,951,804.9,28,15.87
331,0,0,192,0,1025,821,14,12.84
310,0,0,192,0,1012,830,90,34.57
491,26,123.8,201.9,11.3,852.1,699,56,74.5
284,0,141,200,1.7,942,801,28,33.12
252,0,0,186,0,1111,784,28,27.63
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,46.24
166.8,250.2,0,203.5,0,975.6,692.6,90,63.53
289,0,0,192,0,927.4,758.6,28,25.57
374,189.2,0,170.1,11.1,926.1,756.7,28,42.23
424,22,132,168,8.9,822,750,3,28.6
200,133,0,192,0,913.2,895.3,90,35.36
305.3,203.5,0,203.5,0,965.4,631,90,47.22
313.3,145,113,178.5,8,867.2,824,28,36.35
427.5,47.5,0,228,0,932,594,365,56.06
238.1,0,0,185.7,0,1118.8,789.3,28,39.7
122.6,183.9,0,203.5,0,959.2,800.1,7,24.28
525,153,0,189,0,1125,613,3,23.84
326,166,0,174,9,882,790,28,46.23
313.3,262.2,0,175.5,8.9,1046.9,611.8,14,41.93
250.2,0,0,203.5,0,977.6,694.1,7,21.48
362.6,189,0,164.9,11.6,944.7,755.8,56,73.3
238,0,0,186,0,1119,789,28,38.46
381.4,0,0,185.7,0,1104.6,784.3,7,30.12
122.6,210.7,0,185.7,0,977,750,28,39.3
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,9.74
359,19,141,154,10.9,842,801,56,31.27
382.5,0,0,185.7,0,1047.8,739.3,7,26.31
382,0,0,185,0,1047,739,28,21.78
349,0,0,192,0,1047,806,7,15.07
385,0,0,186,0,966,763,28,40.68
500,0,0,200,0,1100,820,28,21.91
400,0,0,187,0,1025,745,7,9.45
331,0,0,192,0,1025,821,7,16.11
238,0,0,186,0,1118,789,180,44.61
307,0,0,193,0,968,812,90,39.23
349,0,0,192,0,1047,806,180,33
272.8,181.9,0,185.7,0,1012.4,714.3,28,78.8
190,190,0,228,0,932,670,90,36.94
236,0,0,194.9,0,968,785.6,7,12.73
427.5,47.5,0,228,0,932,594,90,53.3
376,0,0,200,0,1113,833,28,69.66
500,0,0,200,0,1125,613,3,22.32
153.1,145,113,178.9,8,1001.9,688.7,28,37.26
425,106.3,0,153.5,8.9,852.1,887.1,28,71.3
349,0,0,192,0,1056,809,90,32.07
397,0,0,185.7,0,1040.6,734.3,28,51.02
475,118.8,0,181.1,8.9,852.1,781.5,91,28.94
277.1,151.2,0,185.7,0,967.1,712.2,7,45.3
475,0,0,192,0,936.2,781.2,7,33.4
349,0,0,192,0,1047,806,7,26.15
190,190,0,228,0,932,670,90,34.2
349,0,0,192,0,1047,806,7,15.52
151,0,185,167,16,1074,678,28,15.57
300,0,0,191,0,1075,795,3,13.36
287,0,97,197,7.5,879,825.5,28,32.72
139.6,209.4,0,192,11.1,1047.8,806.9,28,53.58
198.6,132.4,0,192,0,978.4,825.5,28,20.87
349,0,0,192,0,1047,806,7,24.34
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,32.33
385,0,0,186,0,966,763,7,19.01
325.6,250.2,0,185.7,0,1040.6,674.3,3,17.6
362.6,189,0,164.9,23.4,944.7,755.8,28,35.23
212,0,124.8,159,7.8,1085.4,799.5,28,35.23
265,111,86,195,6,833,790,28,17.95
252,0,0,185,0,1111,784,7,15.82
139.6,209.4,0,192,0,1047,806.9,7,10.09
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,52.43
339.2,0,0,185.7,0,1076.2,769.3,3,33.4
102,153,0,192,0,887,942,3,15.52
393,0,0,192,0,940.6,785.6,90,69.3
153,102,0,192,0,888,943.1,90,42.22
321,167,116,182,10,870,780,28,17.34
148.1,187.4,132.1,178.1,8.3,852.1,825.5,28,41.68
250,0,95,189,11,968,845,28,21.48
141.3,212,0,203.5,0,971.8,748.5,28,32.96
339,0,0,197,0,968,774,28,22.84
339.2,0,0,214.6,0,1069,763,7,13.46
155,237,0,174,12,1047,697,28,74.99
475,0,0,162,9.5,1044,662,28,38.21
166,0,126,189,3.9,1083.4,799.5,28,37.81
350,0,0,203,0,974,775,28,21.65
382,0,0,186,0,1047,739,28,37.36
296,0,106.2,221.4,7,819.2,778.4,28,25.51
135,105,193,195,6,965,643,28,33.42
446,24,79,162,11.6,967,712,7,38.56
331,0,0,192,0,978,825,3,23.35
387,20,94,157,10.9,938,845,7,10.09
192,288,0,192,0,929.8,716.1,7,11.48
339,0,0,197,0,968,781,28,20.97
425,106.3,0,153.5,16.5,852.1,887.1,91,79.3
349,0,0,192,0,1047,806,28,16.88
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,55.9
212.5,0,121.6,172.3,8.7,1043.6,759.3,100,44.52
356,0,142,194,11,801,778,28,38.5
236,157,0,192,0,935.4,781.2,7,17.22
236,157,0,192,0,972.6,749.1,3,4.57
250,0,0,191,0,968,856,90,51.72
427.5,47.5,0,228,0,932,594,7,7.84
540,0,0,173,0,1125,613,14,46.68
249.1,0,98.8,162,10.9,987.8,801,28,65.2
133,200,0,192,0,927.4,839.2,28,24.5
307,0,0,192,0,968,812,28,35.31
236,157,0,192,0,972.6,749.1,90,26.86
